time.ms, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6132, 606.76965, 211.06726, 4.1761413, 564.8416, 318.9911, 5.424949, 221.31723, 42.605408, 3.916164, 764.5549, 434.70776, 2.6333957, 593.43445, 190.12445, 4.512152, 331.07526, 649.50793, 2.6544812, 425.78723, 403.0692, 6.039392, 95.29962, 605.5686, 5.062318, 764.95593, 505.88162, 2.9460511, 37.757202, 191.0628, 3.1223373, 384.53256, 620.01044, 1.795996, 170.97487, 763.0789, 4.6665096, 36.119995, 417.33032, 6.2224483, 51.332245, 567.9717, 2.4251454, 472.8548, 765.27673, 7.0137, 536.3737, 102.3501, 2.7790074, 248.05101, 293.16812, 0.2799977, 442.15674, 550.6212, 3.72979, 744.798, 336.13907, 0.7599787, 466.18005, 532.536, 1.0248454
9102, 470.32153, 197.82349, 4.7741675, 456.41687, 398.47745, 5.257437, 96.52188, 38.84082, 4.7253404, 751.0206, 375.74863, 2.4322007, 458.55743, 177.38971, 4.6485267, 427.32587, 573.0271, 1.7574836, 356.1819, 487.136, 5.638749, 36.16687, 686.1643, 6.31467, 750.1705, 396.51865, 3.6943486, 35.612915, 63.399353, 3.2247858, 509.21185, 578.7451, 1.898833, 46.50183, 745.9002, 4.341683, 47.416626, 544.5116, 6.454822, 154.87318, 511.015, 1.8536975, 594.60596, 760.4025, 7.902865, 564.9466, 35.200623, 2.4490323, 277.18396, 417.59808, 0.11497411, 377.54953, 487.60297, 4.3220596, 764.9237, 367.70746, -0.7125676, 582.7505, 603.1614, 1.0248454
12105, 415.01825, 178.64429, 4.5457034, 413.67847, 505.84903, 6.419245, 55.97467, 35.22644, 5.1725526, 764.5443, 283.1587, 2.1193185, 399.23727, 181.08813, 7.6870084, 526.9688, 629.11084, 0.38567913, 278.19678, 601.2146, 5.6616707, 36.20221, 678.8219, 3.1879776, 746.08636, 319.57925, 2.9867058, 44.753967, 46.39563, 2.0128796, 635.6524, 549.469, 1.6384368, 35.651886, 765.2747, 6.1471686, 35.714783, 564.6091, 3.3630848, 272.61136, 512.13293, 1.3469186, 726.5907, 764.53864, 7.921213, 674.526, 35.09723, 1.622076, 318.05878, 548.885, 0.4952933, 301.22565, 431.22342, 3.534174, 759.71265, 303.95236, -2.6933842, 674.95874, 687.3092, 0.7708773
15108, 405.35205, 175.10413, 6.0670547, 426.6308, 643.00684, 5.987953, 45.031464, 38.34552, 6.6425543, 765.0177, 178.07294, 2.0561283, 407.0629, 191.0321, 9.207532, 606.70544, 742.925, 0.9728644, 208.30034, 729.75714, 6.09735, 39.328125, 547.83185, 2.9106684, 739.04364, 210.33759, 2.9868803, 55.13556, 50.706177, 3.5000544, 765.56213, 540.3494, 1.6475694, 35.56555, 764.95056, 5.872181, 67.70859, 427.70258, 2.9700408, 403.96292, 563.46063, 0.8622818, 761.34827, 690.5996, 9.534966, 764.5426, 67.89288, 0.57325184, 395.1739, 663.40454, 0.8198508, 263.00787, 313.49112, 3.0207288, 755.0232, 196.37177, -3.0283272, 755.4983, 764.38354, 1.2258029
18103, 333.19574, 234.16742, 6.7263155, 313.11282, 651.1289, 4.8182917, 119.27948, 35.71295, 7.8247423, 763.38965, 34.65393, 3.177357, 324.8002, 197.43457, 11.757819, 678.50256, 764.06885, 1.5726109, 165.36165, 765.195, 4.9451017, 116.806244, 441.2683, 2.5517302, 748.57495, 88.06824, 3.18792, 137.76193, 34.570557, 2.855259, 723.38153, 429.92325, 3.4610355, 148.74794, 763.2605, 7.9544334, 172.5166, 355.625, 2.0555296, 426.6812, 691.71594, 0.29847994, 746.4054, 566.1208, 9.990042, 668.7627, 116.195435, -1.4105501, 451.5561, 763.9942, 0.9480653, 192.82164, 214.02698, 4.149355, 761.558, 68.20404, -2.9533055, 693.6607, 758.9866, -1.5694772
21131, 424.1904, 284.9051, 8.530216, 176.16882, 665.69116, 4.995519, 196.00748, 35.08423, 8.161616, 656.6283, 61.438477, 5.6972337, 220.64247, 275.90826, 10.580603, 694.0293, 762.76794, 2.9505486, 165.79506, 747.2418, 3.364558, 195.17458, 355.67764, 1.988421, 680.676, 45.475952, 4.4686275, 212.03773, 35.16632, 3.4154086, 639.2366, 354.11646, 5.4257407, 173.72516, 726.58435, 8.041789, 293.31818, 299.59494, 1.608079, 488.6275, 745.68225, 2.91912, 675.9098, 449.68582, 9.838739, 562.6831, 174.33508, 0.0737735, 566.5829, 765.08594, 0.19592395, 103.70459, 127.68591, 3.1010292, 699.3384, 35.61444, -2.2880359, 691.9238, 746.89685, -0.19390622
24125, 519.6997, 200.24365, 8.517194, 42.4953, 714.69867, 4.9425497, 258.81366, 34.997925, 8.148517, 659.07904, 193.79907, 6.4729476, 99.080505, 221.8518, 10.2851, 705.33606, 757.4544, 4.3898787, 234.25638, 654.31555, 2.0897238, 315.08575, 330.67142, 1.4262927, 556.4245, 35.026978, 3.8344872, 278.22345, 34.95984, 2.9003189, 569.3191, 471.21082, 5.9836593, 272.40912, 765.1018, 7.204875, 415.67896, 281.88245, 1.4882402, 535.0593, 632.0531, 2.2293265, 639.54126, 332.2977, 9.94023, 593.176, 313.44263, 0.25523368, 664.1133, 752.1467, 1.4347566, 103.99185, 34.52472, 3.221406, 580.5513, 34.25525, -1.8141625, 689.35144, 757.50653, 1.2487237
27144, 603.07434, 107.49402, 8.718506, 109.2854, 763.27655, 7.800642, 307.64612, 110.46289, 6.3619294, 602.7821, 283.68994, 5.178972, 52.20932, 114.13757, 9.500234, 743.9789, 753.91174, 5.847402, 333.09442, 569.68384, 2.0369933, 411.8136, 265.45782, 2.5744648, 455.68848, 90.981445, 5.5052476, 362.92413, 96.07922, 0.5226676, 555.77167, 562.29663, 7.5377803, 379.7963, 701.00726, 9.046525, 545.56885, 312.5207, 1.498995, 571.7784, 562.15607, 4.39841, 565.11804, 246.99841, 10.711323, 667.3633, 373.51755, 1.6539717, 711.53406, 764.0449, 1.3694657, 58.214294, 35.029297, 3.727209, 466.263, 52.690674, -0.9758493, 730.7335, 764.2461, 2.6869948
30153, 703.807, 35.5271, 7.78862, 244.05052, 753.4999, 8.504729, 280.3136, 241.68811, 5.9662914, 630.9462, 346.45795, 7.8433623, 52.3273, 35.416687, 10.939023, 764.6271, 735.0464, 6.0389123, 459.87976, 502.87665, 1.9277213, 470.2695, 151.0882, 2.7960806, 414.92963, 197.41254, 6.4476132, 409.3316, 221.07538, 0.639738, 558.0526, 574.2346, 9.038898, 457.16867, 595.9365, 8.362826, 656.91736, 326.06796, 2.43047, 559.0453, 558.2477, 5.89487, 434.50247, 209.6427, 10.763253, 764.1996, 347.29697, 2.2283003, 740.86176, 762.93976, 1.687384, 34.97229, 47.930847, 5.9013906, 365.32196, 132.95044, -1.0400563, 756.0492, 748.5211, 2.9016094
33156, 764.33826, 58.614746, 6.9002633, 372.23853, 730.463, 7.805075, 195.5146, 347.30682, 5.727007, 697.85297, 238.67426, 8.911063, 36.273865, 144.2201, 12.486276, 655.0514, 672.11884, 4.5157485, 547.60223, 556.22736, 1.0121926, 392.04434, 63.076416, 4.1482816, 332.15588, 278.69952, 5.5404735, 429.59106, 222.18774, 3.7489235, 586.66864, 567.517, 10.697689, 568.31494, 591.788, 7.8607063, 756.9278, 252.03925, 2.7906559, 570.68604, 567.86127, 7.545999, 416.7355, 212.66174, 13.173785, 762.67346, 230.242, 3.8637474, 678.01904, 715.65564, 4.633587, 99.21933, 158.26855, 6.821458, 262.05936, 87.308105, -1.9588201, 662.4662, 700.7708, 4.889946
